path	module	domain	type	size_bytes	purpose	search_keys
internal/store/systemlog/module.go	internal	store-sql	go-source	111	应用级持久化 store	internal,store,systemlog,module,应用级持久化
internal/store/systemlog/sqlite_integration_test.go	internal	store-sql	go-test	4524	应用级持久化 store	internal,store,systemlog,sqlite,integration,test,应用级持久化
internal/store/systemlog/store_test.go	internal	store-sql	go-test	7971	应用级持久化 store	internal,store,systemlog,test,应用级持久化
internal/store/systemlog/store.go	internal	store-sql	go-source	3970	应用级持久化 store	internal,store,systemlog,应用级持久化
internal/store/thread/contract.go	internal	store-sql	go-source	8326	应用级持久化 store	internal,store,thread,contract,应用级持久化
internal/store/thread/metadata_adapter.go	internal	store-sql	go-source	2583	应用级持久化 store	internal,store,thread,metadata,adapter,应用级持久化
internal/store/thread/module.go	internal	store-sql	go-source	250	应用级持久化 store	internal,store,thread,module,应用级持久化
internal/store/thread/session_adapter_test.go	internal	store-sql	go-test	1763	应用级持久化 store	internal,store,thread,session,adapter,test,应用级持久化
internal/store/thread/session_adapter.go	internal	store-sql	go-source	3507	应用级持久化 store	internal,store,thread,session,adapter,应用级持久化
internal/store/thread/snapshot_test.go	internal	store-sql	go-test	4125	应用级持久化 store	internal,store,thread,snapshot,test,应用级持久化
internal/store/thread/store_test.go	internal	store-sql	go-test	18355	应用级持久化 store	internal,store,thread,test,应用级持久化
internal/store/thread/store.go	internal	store-sql	go-source	26551	应用级持久化 store	internal,store,thread,应用级持久化
internal/store/topologyapproval/contract.go	internal	store-sql	go-source	1478	应用级持久化 store	internal,store,topologyapproval,contract,应用级持久化
internal/store/topologyapproval/module.go	internal	store-sql	go-source	177	应用级持久化 store	internal,store,topologyapproval,module,应用级持久化
internal/store/topologyapproval/store_test.go	internal	store-sql	go-test	13841	应用级持久化 store	internal,store,topologyapproval,test,应用级持久化
internal/store/topologyapproval/store.go	internal	store-sql	go-source	4368	应用级持久化 store	internal,store,topologyapproval,应用级持久化
internal/store/turndedupe/contract.go	internal	store-sql	go-source	2208	应用级持久化 store	internal,store,turndedupe,contract,应用级持久化
internal/store/turndedupe/module.go	internal	store-sql	go-source	264	应用级持久化 store	internal,store,turndedupe,module,应用级持久化
internal/store/turndedupe/store_test.go	internal	store-sql	go-test	10500	应用级持久化 store	internal,store,turndedupe,test,应用级持久化
internal/store/turndedupe/store.go	internal	store-sql	go-source	4802	应用级持久化 store	internal,store,turndedupe,应用级持久化
internal/store/uipreference/contract.go	internal	store-sql	go-source	1189	应用级持久化 store	internal,store,uipreference,contract,应用级持久化
internal/store/uipreference/module.go	internal	store-sql	go-source	171	应用级持久化 store	internal,store,uipreference,module,应用级持久化
internal/store/uipreference/sqlite_integration_test.go	internal	store-sql	go-test	2563	应用级持久化 store	internal,store,uipreference,sqlite,integration,test,应用级持久化
internal/store/uipreference/store_test.go	internal	store-sql	go-test	7141	应用级持久化 store	internal,store,uipreference,test,应用级持久化
internal/store/uipreference/store.go	internal	store-sql	go-source	2972	应用级持久化 store	internal,store,uipreference,应用级持久化
sql/queries/agent_feedback.sql	sql	store-sql	sql	930	仓库级 SQL query 源文件	sql,queries,agent,feedback,仓库级,SQL,query,源文件
sql/queries/agent_provider_binding.sql	sql	store-sql	sql	3133	仓库级 SQL query 源文件	sql,queries,agent,provider,binding,仓库级,SQL,query,源文件
sql/queries/agent_status.sql	sql	store-sql	sql	1217	仓库级 SQL query 源文件	sql,queries,agent,status,仓库级,SQL,query,源文件
sql/queries/agent_thread_prompt_snapshot.sql	sql	store-sql	sql	233	仓库级 SQL query 源文件	sql,queries,agent,thread,prompt,snapshot,仓库级,SQL,query,源文件
sql/queries/agent_thread.sql	sql	store-sql	sql	8625	仓库级 SQL query 源文件	sql,queries,agent,thread,仓库级,SQL,query,源文件
sql/queries/ai_log.sql	sql	store-sql	sql	1979	仓库级 SQL query 源文件	sql,queries,ai,log,仓库级,SQL,query,源文件
sql/queries/audit_log.sql	sql	store-sql	sql	1133	仓库级 SQL query 源文件	sql,queries,audit,log,仓库级,SQL,query,源文件
sql/queries/bus_log.sql	sql	store-sql	sql	825	仓库级 SQL query 源文件	sql,queries,bus,log,仓库级,SQL,query,源文件
sql/queries/command_card.sql	sql	store-sql	sql	2626	仓库级 SQL query 源文件	sql,queries,command,card,仓库级,SQL,query,源文件
sql/queries/cron_job.sql	sql	store-sql	sql	13532	仓库级 SQL query 源文件	sql,queries,cron,job,仓库级,SQL,query,源文件
sql/queries/cwd_lock.sql	sql	store-sql	sql	1720	仓库级 SQL query 源文件	sql,queries,cwd,lock,仓库级,SQL,query,源文件
sql/queries/datasource_v2.sql	sql	store-sql	sql	4686	仓库级 SQL query 源文件	sql,queries,datasource,v2,仓库级,SQL,query,源文件
sql/queries/datasource.sql	sql	store-sql	sql	1505	仓库级 SQL query 源文件	sql,queries,datasource,仓库级,SQL,query,源文件
sql/queries/db_query.sql	sql	store-sql	sql	355	仓库级 SQL query 源文件	sql,queries,db,query,仓库级,SQL,源文件
sql/queries/hook_pending_review.sql	sql	store-sql	sql	3295	仓库级 SQL query 源文件	sql,queries,hook,pending,review,仓库级,SQL,query,源文件
sql/queries/interaction.sql	sql	store-sql	sql	1567	仓库级 SQL query 源文件	sql,queries,interaction,仓库级,SQL,query,源文件
sql/queries/mcp_tool_lifecycle.sql	sql	store-sql	sql	2503	仓库级 SQL query 源文件	sql,queries,mcp,tool,lifecycle,仓库级,SQL,query,源文件
sql/queries/prompt_intent_drafts.sql	sql	store-sql	sql	2455	仓库级 SQL query 源文件	sql,queries,prompt,intent,drafts,仓库级,SQL,query,源文件
sql/queries/prompt_routing_test.sql	sql	store-sql	sql	179	仓库级 SQL query 源文件	sql,queries,prompt,routing,test,仓库级,SQL,query,源文件
sql/queries/prompt_template_sections.sql	sql	store-sql	sql	5167	仓库级 SQL query 源文件	sql,queries,prompt,template,sections,仓库级,SQL,query,源文件
sql/queries/prompt_template.sql	sql	store-sql	sql	3941	仓库级 SQL query 源文件	sql,queries,prompt,template,仓库级,SQL,query,源文件
sql/queries/session_insight.sql	sql	store-sql	sql	9194	仓库级 SQL query 源文件	sql,queries,session,insight,仓库级,SQL,query,源文件
sql/queries/shared_file.sql	sql	store-sql	sql	1013	仓库级 SQL query 源文件	sql,queries,shared,file,仓库级,SQL,query,源文件
sql/queries/system_log.sql	sql	store-sql	sql	2294	仓库级 SQL query 源文件	sql,queries,system,log,仓库级,SQL,query,源文件
sql/queries/thread_binding.sql	sql	store-sql	sql	2241	仓库级 SQL query 源文件	sql,queries,thread,binding,仓库级,SQL,query,源文件
sql/queries/topology_approval.sql	sql	store-sql	sql	1239	仓库级 SQL query 源文件	sql,queries,topology,approval,仓库级,SQL,query,源文件
sql/queries/turn_dedupe_registry.sql	sql	store-sql	sql	1981	仓库级 SQL query 源文件	sql,queries,turn,dedupe,registry,仓库级,SQL,query,源文件
sql/queries/ui_preference.sql	sql	store-sql	sql	560	仓库级 SQL query 源文件	sql,queries,ui,preference,仓库级,SQL,query,源文件
sql/queries/workspace_run.sql	sql	store-sql	sql	4140	仓库级 SQL query 源文件	sql,queries,workspace,run,仓库级,SQL,query,源文件
